City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Rosarito,32.3333,-117.0333,64.76,19,0,1.34,MX,2022-02-03 18:53:54
358,Sovetskaya Gavan,48.9723,140.2878,6.89,71,100,8.37,RU,2022-02-03 18:53:54
359,Qasigiannguit,68.8193,-51.1922,19.33,62,100,15.64,GL,2022-02-03 18:53:54
360,Flinders,-34.5833,150.8552,58.28,77,85,11.59,AU,2022-02-03 18:53:55
361,Bandarbeyla,9.4942,50.8122,75.94,64,0,18.32,SO,2022-02-03 18:49:47
362,Padang,-0.9492,100.3543,75.25,92,100,3.06,ID,2022-02-03 18:52:47
363,Neka,36.6508,53.299,53.73,53,100,3.42,IR,2022-02-03 18:53:56
364,Wanaka,-44.7,169.15,52.11,94,100,1.99,NZ,2022-02-03 18:51:46
365,Kang,-23.6752,22.7876,69.01,78,100,13.27,BW,2022-02-03 18:53:56
366,Unguia,8.0434,-77.0945,89.62,56,76,5.28,CO,2022-02-03 18:53:57
367,Chiang Klang,19.2938,100.8617,66.04,69,2,1.21,TH,2022-02-03 18:53:57
368,Mabaruma,8.2,-59.7833,84.2,74,75,0.0,GY,2022-02-03 18:53:58
369,Salalah,17.0151,54.0924,73.98,42,0,4.03,OM,2022-02-03 18:50:21
370,Syamzha,60.0158,41.0614,9.72,99,100,2.37,RU,2022-02-03 18:53:59
371,Sur,22.5667,59.5289,69.49,55,0,9.01,OM,2022-02-03 18:53:39
372,Puquio,-14.7,-74.1333,55.45,76,99,10.11,PE,2022-02-03 18:54:59
373,Mount Gambier,-37.8333,140.7667,57.11,67,100,6.91,AU,2022-02-03 18:55:00
374,Namibe,-15.1961,12.1522,74.26,70,2,11.27,AO,2022-02-03 18:55:00
375,Marystown,47.1666,-55.1483,37.85,100,100,8.01,CA,2022-02-03 18:55:01
376,Touros,-5.1989,-35.4608,86.9,67,69,14.61,BR,2022-02-03 18:55:01
377,Ostrovnoy,68.0531,39.5131,12.79,81,100,0.89,RU,2022-02-03 18:55:02
378,Karasjok,69.4719,25.5112,-0.29,97,100,2.64,NO,2022-02-03 18:55:02
379,Prince Rupert,54.3161,-130.3201,42.89,93,100,11.5,CA,2022-02-03 18:55:03
380,Cleveland,41.4995,-81.6954,28.65,92,100,23.02,US,2022-02-03 18:51:49
381,Springdale,36.1867,-94.1288,18.03,90,100,11.01,US,2022-02-03 18:55:03
382,Agaro,7.85,36.65,70.14,50,97,2.15,ET,2022-02-03 18:55:04
383,Poum,-20.2333,164.0167,81.91,81,100,14.32,NC,2022-02-03 18:55:05
384,Caraquet,47.7941,-64.9386,34.38,88,100,13.58,CA,2022-02-03 18:55:06
385,Vestmanna,62.1564,-7.1664,34.72,80,75,29.93,FO,2022-02-03 18:55:06
386,Kamloops,50.6665,-120.3192,23.83,79,75,3.44,CA,2022-02-03 18:50:46
387,Huainan,32.6264,116.9969,34.07,89,6,4.32,CN,2022-02-03 18:55:07
388,Rameswaram,9.2833,79.3,79.02,63,4,10.47,IN,2022-02-03 18:55:08
389,Srednekolymsk,67.45,153.6833,-34.58,100,62,2.48,RU,2022-02-03 18:55:08
390,Telemaco Borba,-24.3239,-50.6156,75.18,91,37,2.21,BR,2022-02-03 18:55:08
391,Plettenberg Bay,-34.0527,23.3716,66.11,79,100,9.06,ZA,2022-02-03 18:55:09
392,Bethel,41.3712,-73.414,44.17,100,100,2.13,US,2022-02-03 18:55:10
393,Lavrentiya,65.5833,-171.0,-2.13,62,1,23.55,RU,2022-02-03 18:55:10
394,Merauke,-8.4667,140.3333,78.85,83,86,9.53,ID,2022-02-03 18:55:11
395,Gordeyevka,52.9569,31.9703,23.52,94,100,10.2,RU,2022-02-03 18:55:11
396,Bashtanka,47.4072,32.4387,30.97,86,100,14.34,UA,2022-02-03 18:55:12
397,Kimbe,-5.5502,150.1429,75.07,93,100,5.12,PG,2022-02-03 18:55:12
398,Balabac,7.9868,117.0645,80.01,78,24,8.9,PH,2022-02-03 18:55:13
399,Ixtapa,20.7,-105.2,83.39,35,83,5.99,MX,2022-02-03 18:55:13
400,Helong,42.5397,128.9972,2.44,86,17,5.5,CN,2022-02-03 18:55:14
401,General Roca,-39.0333,-67.5833,95.63,17,11,2.84,AR,2022-02-03 18:55:14
402,Komsomolskiy,40.4272,71.7189,35.02,80,6,9.22,UZ,2022-02-03 18:55:15
403,Nuuk,64.1835,-51.7216,16.7,94,100,17.63,GL,2022-02-03 18:55:15
404,Kiama,-34.6833,150.8667,58.48,77,87,3.0,AU,2022-02-03 18:55:15
405,Jinka,5.65,36.65,74.48,42,96,0.31,ET,2022-02-03 18:55:16
406,Khon Kaen,16.5,102.0833,72.16,74,4,3.0,TH,2022-02-03 18:55:16
407,Libenge,3.65,18.6333,82.0,23,67,2.53,CD,2022-02-03 18:55:17
408,Mandera,3.9366,41.867,87.42,27,36,8.93,KE,2022-02-03 18:55:18
409,Slave Lake,55.2834,-114.769,-9.42,70,75,6.91,CA,2022-02-03 18:52:50
410,Fastiv,50.0767,29.9177,26.82,83,100,14.67,UA,2022-02-03 18:55:18
411,Desbiens,48.4178,-71.9495,9.72,75,100,10.49,CA,2022-02-03 18:55:19
412,Tashigang,27.3331,91.5542,43.21,81,41,4.29,BT,2022-02-03 18:55:19
413,Atambua,-9.1061,124.8925,73.81,91,100,2.91,ID,2022-02-03 18:55:20
414,Xiantao,30.3833,113.4,37.11,81,8,2.55,CN,2022-02-03 18:55:20
415,San Fernando,15.0286,120.6898,77.14,87,71,3.38,PH,2022-02-03 18:55:21
416,Jizan,17.3333,42.6667,79.74,70,78,1.45,SA,2022-02-03 18:55:22
417,Faya,18.3851,42.4509,59.11,71,7,3.51,SA,2022-02-03 18:55:22
418,Chake Chake,-5.2459,39.7666,79.83,81,100,11.72,TZ,2022-02-03 18:56:24
419,Ocos,14.5094,-92.1933,91.9,59,5,9.08,GT,2022-02-03 18:56:24
420,Oystese,60.3882,6.1925,46.06,98,100,8.21,NO,2022-02-03 18:56:24
421,Hamada,34.8833,132.0833,35.01,65,99,7.7,JP,2022-02-03 18:56:25
422,Tukrah,32.5341,20.5791,54.03,55,100,28.14,LY,2022-02-03 18:56:25
423,Roseburg,43.2165,-123.3417,47.37,73,40,0.0,US,2022-02-03 18:56:26
424,Linxi,39.7,118.4333,20.46,32,7,11.1,CN,2022-02-03 18:56:26
425,Cairo,30.0626,31.2497,60.22,41,40,18.41,EG,2022-02-03 18:51:58
426,Hay River,60.8156,-115.7999,-25.62,75,20,5.75,CA,2022-02-03 18:54:06
427,Bereda,43.2686,-7.5406,52.0,89,49,3.29,ES,2022-02-03 18:56:27
428,Semnan,35.5729,53.3971,42.55,46,100,2.64,IR,2022-02-03 18:56:28
429,Coquimbo,-29.9533,-71.3436,68.76,69,14,8.46,CL,2022-02-03 18:56:28
430,Snasa,64.2457,12.3778,14.16,92,100,10.45,NO,2022-02-03 18:56:28
431,Saint Albans,51.75,-0.3333,49.86,83,100,6.91,GB,2022-02-03 18:55:47
432,Stavern,59.0,10.0333,32.45,95,100,11.72,NO,2022-02-03 18:56:29
433,Tanza,14.6753,120.9389,77.18,74,72,3.96,PH,2022-02-03 18:56:30
434,Caravelas,-17.7125,-39.2481,83.91,62,88,8.9,BR,2022-02-03 18:55:59
435,Sitka,57.0531,-135.33,37.29,93,100,6.91,US,2022-02-03 18:53:54
436,Sao Felix Do Xingu,-6.6447,-51.995,89.08,54,6,4.47,BR,2022-02-03 18:53:00
437,Grand Baie,-20.0182,57.5802,81.45,84,100,15.99,MU,2022-02-03 18:56:20
438,Benalla,-36.55,145.9833,51.57,76,0,6.78,AU,2022-02-03 18:56:31
439,Cidreira,-30.1811,-50.2056,80.4,75,66,17.56,BR,2022-02-03 18:56:32
440,Gorontalo,0.5412,123.0595,73.65,97,100,4.79,ID,2022-02-03 18:56:32
441,Auki,-8.7676,160.7034,77.47,88,100,4.34,SB,2022-02-03 18:56:33
442,Bunda,-2.05,33.8667,67.3,83,100,4.81,TZ,2022-02-03 18:56:34
443,San Cristobal,7.7669,-72.225,84.38,33,90,6.35,VE,2022-02-03 18:56:34
444,Nishihara,26.1842,127.7558,61.88,88,75,9.22,JP,2022-02-03 18:56:35
445,Bindura,-17.3019,31.3306,69.01,90,13,1.57,ZW,2022-02-03 18:56:35
446,Walvis Bay,-22.9575,14.5053,70.09,76,0,14.09,NA,2022-02-03 18:56:36
447,Peniche,39.3558,-9.3811,58.62,80,97,4.5,PT,2022-02-03 18:56:36
448,Wagar,16.1525,36.2032,83.28,18,88,11.61,SD,2022-02-03 18:56:37
449,Te Anau,-45.4167,167.7167,47.23,97,100,4.56,NZ,2022-02-03 18:56:37
450,Ayagoz,47.9714,80.4392,-10.07,96,74,6.13,KZ,2022-02-03 18:56:38
451,Parry Sound,45.3501,-80.033,13.21,57,100,10.42,CA,2022-02-03 18:56:38
452,Castrovillari,39.8203,16.2123,36.1,53,0,3.49,IT,2022-02-03 18:56:39
453,Yemelyanovo,56.1681,92.6767,-2.92,84,43,0.0,RU,2022-02-03 18:56:39
454,Eureka,40.8021,-124.1637,51.21,81,100,4.0,US,2022-02-03 18:56:40
455,Santa Cruz,-17.8,-63.1667,89.65,58,75,14.97,BO,2022-02-03 18:54:58
456,Avera,33.194,-82.5271,75.7,55,100,17.29,US,2022-02-03 18:56:40
457,Praya,14.9215,-23.5087,82.94,44,0,14.97,CV,2022-02-03 18:56:41
458,Lethem,3.3803,-59.7968,89.65,58,40,13.8,GY,2022-02-03 18:56:41
459,Pindushi,62.9152,34.58,2.5,99,60,2.66,RU,2022-02-03 18:56:41
460,Baghdad,33.3406,44.4009,51.71,54,75,6.91,IQ,2022-02-03 18:56:42
461,Candelaria,13.9311,121.4233,75.38,92,97,5.14,PH,2022-02-03 18:56:42
462,Emerald,-23.5333,148.1667,73.54,83,40,6.91,AU,2022-02-03 18:56:43
463,Taboga,46.2663,13.1092,46.26,77,100,1.03,IT,2022-02-03 18:56:43
464,Hanna,51.6334,-111.9018,6.31,75,100,11.99,CA,2022-02-03 18:57:44
465,Zeya,53.75,127.2667,-10.34,87,85,4.52,RU,2022-02-03 18:57:44
466,Sistranda,63.7256,8.834,33.76,69,100,19.13,NO,2022-02-03 18:57:45
467,Sassandra,4.95,-6.0833,80.44,78,1,7.81,CI,2022-02-03 18:57:45
468,Kurchum,48.5722,83.6542,-12.42,95,28,2.24,KZ,2022-02-03 18:57:46
469,Awka,6.2101,7.0741,87.53,32,81,1.86,NG,2022-02-03 18:57:46
470,Faanui,-16.4833,-151.75,80.04,77,100,18.41,PF,2022-02-03 18:57:47
471,Puerto Escondido,15.85,-97.0667,83.98,54,1,9.28,MX,2022-02-03 18:55:42
472,Ciudad Bolivar,8.1222,-63.5497,96.15,28,23,9.82,VE,2022-02-03 18:57:48
473,Kalininsk,51.5,44.4758,36.54,100,100,10.63,RU,2022-02-03 18:57:48
474,Ilorin,8.5,4.55,85.3,14,67,3.85,NG,2022-02-03 18:57:48
475,Teshie,5.5836,-0.1072,84.76,79,12,12.66,GH,2022-02-03 18:57:49
476,Tshela,-4.9833,12.9333,73.53,95,52,2.26,CD,2022-02-03 18:57:49
477,Elizabeth City,36.2946,-76.2511,70.05,65,100,12.59,US,2022-02-03 18:57:50
478,Salinas,36.6777,-121.6555,62.73,43,88,3.04,US,2022-02-03 18:55:45
479,Pampa,35.5362,-100.9599,10.44,79,100,21.85,US,2022-02-03 18:57:51
480,Yumen,40.2833,97.2,16.36,41,38,8.72,CN,2022-02-03 18:57:51
481,Kirakira,-10.4544,161.9205,78.17,89,100,5.93,SB,2022-02-03 18:57:51
482,Kahuta,33.5913,73.3868,46.85,95,47,0.4,PK,2022-02-03 18:57:52
483,Polyarnyy,69.1989,33.4478,1.87,90,100,0.34,RU,2022-02-03 18:57:52
484,Portland,45.5234,-122.6762,48.45,91,100,1.01,US,2022-02-03 18:56:45
485,Weiser,44.251,-116.9693,34.03,74,73,1.81,US,2022-02-03 18:53:34
486,Belmonte,-15.8631,-38.8828,86.0,64,10,10.33,BR,2022-02-03 18:57:53
487,Sola,-13.8833,167.55,75.87,100,100,0.0,VU,2022-02-03 18:57:54
488,Forestville,38.8451,-76.875,50.36,95,100,4.61,US,2022-02-03 18:57:54
489,Kamaishi,39.2667,141.8833,29.07,64,31,8.9,JP,2022-02-03 18:57:54
490,Jurm,36.8648,70.8342,15.28,64,1,6.46,AF,2022-02-03 18:57:55
491,Tianpeng,30.9866,103.9393,41.47,85,100,1.34,CN,2022-02-03 18:57:56
492,Capaccio,40.4244,15.0809,46.58,64,6,5.44,IT,2022-02-03 18:57:56
493,Saint-Michel-Des-Saints,46.6834,-73.9159,13.93,79,100,9.33,CA,2022-02-03 18:57:57
494,La Ronge,55.1001,-105.2842,-21.75,57,40,5.75,CA,2022-02-03 18:57:57
495,Tartagal,-22.5164,-63.8013,91.54,32,39,7.09,AR,2022-02-03 18:57:58
496,Nalut,30.3333,10.85,52.03,48,0,8.05,LY,2022-02-03 18:57:59
497,Manaure,11.7751,-72.4445,89.71,49,0,16.96,CO,2022-02-03 18:58:00
498,Santa Maria,-29.6842,-53.8069,81.7,57,75,17.27,BR,2022-02-03 18:58:00
499,Agirish,61.9247,63.0231,13.98,97,100,2.04,RU,2022-02-03 18:58:01
500,Soubre,5.7856,-6.6083,82.63,30,0,0.51,CI,2022-02-03 18:58:01
501,Bandar-E Lengeh,26.5579,54.8807,64.51,63,0,4.61,IR,2022-02-03 18:58:02
502,Seydi,39.4816,62.9137,46.92,52,0,11.81,TM,2022-02-03 18:58:02
503,Bengkulu,-3.8004,102.2655,75.97,90,100,4.88,ID,2022-02-03 18:58:03
504,Banda Aceh,5.5577,95.3222,78.51,80,94,1.25,ID,2022-02-03 18:58:03
505,Marathon,44.9,-89.7668,9.99,53,0,5.75,US,2022-02-03 18:58:04
506,Buala,-8.145,159.5921,78.78,87,100,11.05,SB,2022-02-03 18:58:04
507,Rundu,-17.9333,19.7667,67.51,87,100,5.79,NA,2022-02-03 18:58:05
508,Klyuchi,52.2667,79.1667,1.0,98,72,6.42,RU,2022-02-03 18:58:05
509,Adrar,20.5022,-10.0711,70.47,12,0,10.11,MR,2022-02-03 18:58:06
510,Chuy,-33.6971,-53.4616,84.54,62,61,13.38,UY,2022-02-03 18:58:06
511,Havoysund,70.9963,24.6622,20.28,77,99,14.56,NO,2022-02-03 18:59:07
512,Tilichiki,60.4667,166.1,3.54,82,100,10.8,RU,2022-02-03 18:59:07
513,Kiruna,67.8557,20.2251,-10.28,77,75,3.44,SE,2022-02-03 18:59:08
514,Jiangyou,31.7667,104.7167,40.89,83,100,2.1,CN,2022-02-03 18:59:08
515,Inirida,3.8653,-67.9239,86.56,56,93,2.44,CO,2022-02-03 18:59:09
516,Ngatea,-37.2833,175.5,71.06,85,9,3.2,NZ,2022-02-03 18:59:09
517,Broome,42.2506,-75.833,37.45,76,100,1.99,US,2022-02-03 18:55:10
518,Rawson,-43.3002,-65.1023,77.49,40,64,8.86,AR,2022-02-03 18:56:21
519,Geraldton,-28.7667,114.6,70.21,56,0,8.05,AU,2022-02-03 18:59:10
520,San Policarpo,12.1791,125.5072,79.99,86,98,15.84,PH,2022-02-03 18:59:10
521,Kota Kinabalu,5.9749,116.0724,76.98,94,20,4.61,MY,2022-02-03 18:59:11
522,Sayyan,15.1718,44.3244,54.05,29,7,3.83,YE,2022-02-03 18:59:11
523,Maragogi,-9.0122,-35.2225,83.84,59,59,12.17,BR,2022-02-03 18:59:12
524,Ajdabiya,30.7554,20.2263,56.14,49,100,25.64,LY,2022-02-03 18:59:12
525,Kindu,-2.95,25.95,70.38,99,100,3.78,CD,2022-02-03 18:59:13
526,Tres Arroyos,-38.3739,-60.2798,89.24,28,100,8.81,AR,2022-02-03 18:59:13
527,Palmas,-10.2128,-48.3603,80.47,78,40,8.05,BR,2022-02-03 18:59:14
528,Tevaitoa,-16.7833,-151.5,80.2,76,9,17.83,PF,2022-02-03 18:59:14
529,Pasni,25.2631,63.471,69.85,28,0,10.78,PK,2022-02-03 18:59:15
